Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95,none_minus_all,peak_dense_minus_none_90,peak_dense_minus_all_90,peak_dense_minus_matched_random_90,none_minus_matched_random_90,peak_dense_minus_none_80,peak_dense_minus_all_80,peak_dense_minus_matched_random_80,none_minus_matched_random_80,peak_dense_minus_none_95,peak_dense_minus_all_95,peak_dense_minus_matched_random_95,none_minus_matched_random_95
103414,0.189398014493288,-0.0104668375480706,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0,0,0,0,0,0,0.199864852041359,-9.99200722162641e-16,0.199864852041358,0,9.99200722162641e-16,-9.99200722162641e-16,0.199864852041358,0,9.99200722162641e-16,-9.99200722162641e-16,0.199864852041358,0,9.99200722162641e-16
104820,0.183269747400781,-0.0086093165364093,0.183269747400781,0.181355221685574,0.183269747400781,0.181397244693334,0.183269747400781,0.181355221685574,0,0,0,0,0,0,0.19187906393719,0,0.19187906393719,0.00187250270744702,0.00187250270744702,0,0.19187906393719,0.001914525715207,0.001914525715207,0,0.19187906393719,0.001914525715207,0.001914525715207
108222,0.19103179533125,-0.0106518780245701,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000,0.20168367335582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111514,0.181537682823377,-0.00940577177787303,0.172853843810239,0.178013688936154,0.172573028823176,0.177917878949011,0.172853843810239,0.178013688936154,0,0,0,0,0,0,0.19094345460125,-0.00896465400020102,0.181978800601049,-0.00534485012583502,0.003619803874366,-0.00868383901313802,0.182259615588112,-0.005159845125915,0.00352399388722302,-0.00868383901313802,0.182259615588112,-0.005159845125915,0.00352399388722302
115724,0.183062148925394,-0.00622584345386753,0.183062148925394,0.181759000362935,0.183062148925394,0.181707597163634,0.183062148925394,0.181759000362935,0,0,0,0,0,0,0.189287992379262,0,0.189287992379262,0.00135455176176,0.00135455176176,0,0.189287992379262,0.001303148562459,0.001303148562459,0,0.189287992379262,0.001303148562459,0.001303148562459
118023,0.209119875469986,-0.00738371193776385,0.209119875469987,0.207406374880616,0.209119875469987,0.207238959212092,0.209119875469987,0.207406374880616,0,0,0,0,0,0,0.21650358740775,9.99200722162641e-16,0.216503587407751,0.00188091625789499,0.00188091625789399,9.99200722162641e-16,0.216503587407751,0.001713500589371,0.00171350058937,9.99200722162641e-16,0.216503587407751,0.001713500589371,0.00171350058937
118225,0.200733363836541,-0.0089046635591524,0.195175083216563,0.196677136892676,0.195169060596528,0.196522822356945,0.195175083216563,0.196677136892676,0,0,0,0,0,0,0.209638027395693,-0.005564303240013,0.20407372415568,-0.00135376176041699,0.00421054147959601,-0.00555828061997801,0.204079746775715,-0.001502053676113,0.00405622694386501,-0.00555828061997801,0.204079746775715,-0.001502053676113,0.00405622694386501
120111,0.17502728687274,-0.00732839494175009,0.173926014676439,0.173544467857255,0.173919353755897,0.17357266253285,0.173926014676439,0.173544467857255,0,0,0,0,0,0,0.18235568181449,-0.00110793311684299,0.181247748697647,0.000346691223047008,0.00145462433988999,-0.00110127219630099,0.181254409618189,0.000381546819184009,0.001482819015485,-0.00110127219630099,0.181254409618189,0.000381546819184009,0.001482819015485
124422,0.215067020883932,-0.00886490878032501,0.212469382937906,0.213372356154678,0.212401299685288,0.213393340590375,0.212469382937906,0.213372356154678,0,0,0,0,0,0,0.223931929664257,-0.002665721198644,0.221266208465613,-0.000992040905087005,0.00167368029355699,-0.00259763794602602,0.221334291718231,-0.000902973216772018,0.001694664729254,-0.00259763794602602,0.221334291718231,-0.000902973216772018,0.001694664729254
124624,0.263381662858,-0.00849683083981552,0.256013359742695,0.260383335760754,0.256132203341329,0.260606215200596,0.256013359742695,0.260383335760754,0,0,0,0,0,0,0.271878493697816,-0.007249459516671,0.264629034181145,-0.00447401185926699,0.00277544765740401,-0.00736830311530501,0.264510190582511,-0.004369976018059,0.00299832709724601,-0.00736830311530501,0.264510190582511,-0.004369976018059,0.00299832709724601
