Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95
103414,0.486300236356292,-0.00372864706042125,0.362420766513994,0.392517416303406,0.392462263032142,0.402451526378341,0.444541584697589,0.443272659368422
104820,0.3887360026917,-0.00406274589865918,0.344589021132873,0.348554609959751,0.344732712425702,0.348605816870337,0.36018185528518,0.358639164847396
108222,0.459701200794031,-0.004401312074222,0.354598671726778,0.36851299823942,0.385367936817404,0.385716856628474,0.43211381136161,0.423033290873951
111514,0.419875788323309,-0.0047244173396941,0.353316504031715,0.378953026843177,0.35350472413075,0.378412866794329,0.368868069232051,0.385823844210994
115724,0.296398137236861,-0.00522126530516865,0.274421032434919,0.277235556543701,0.274388173611382,0.277006283200675,0.274421032434919,0.277235556543701
118023,0.364661651455133,-0.00505132121554769,0.321234450651769,0.339726405386537,0.320943233124155,0.339627430243715,0.321234450651769,0.339726405386537
118225,0.539184732524345,-0.00412728392291841,0.417987122411477,0.442315609065376,0.431502561379,0.445460165095149,0.494867213437352,0.491917955644541
120111,0.327377918978775,-0.00410751452368882,0.304568193620766,0.312425176364797,0.304596644760631,0.312520828092961,0.304568193620766,0.312425176364797
124422,0.379786859041203,-0.00505231753079206,0.292359441788653,0.328852797404962,0.292960383219291,0.328753447171997,0.351726397155016,0.350486155824642
124624,0.377317670933203,-0.00518596319196921,0.351220054177035,0.354551879205316,0.351323308327502,0.354536635468606,0.351220054177035,0.354551879205316
124826,0.440772615320636,-0.00404341359957743,0.387039439487041,0.40133894967295,0.387417552275294,0.401348469371163,0.395677958169508,0.408102664180527
125424,0.400986467758093,-0.00404469258680734,0.370634684083208,0.372194381339966,0.370733311354536,0.372237544358409,0.370634684083208,0.372194381339966
127226,0.416302606843064,-0.00475673825343373,0.38623742236287,0.392671748592034,0.386253485274547,0.392858320825686,0.38623742236287,0.392671748592034
129129,0.524014310763933,-0.00387256418852929,0.392982614585216,0.422464498163884,0.43114308004477,0.434328859655658,0.489906906257683,0.47879153707832
130821,0.298261646566085,-0.00779885510282258,0.282765091802887,0.293471855733259,0.282333619374622,0.293609095367146,0.282765091802887,0.293471855733259
131924,0.475688423295118,-0.00444039109177887,0.410672032842522,0.430510041665452,0.410927985778265,0.43046331486071,0.428363547180826,0.437510517392207
133625,0.441665285512117,-0.00473384635260147,0.360032202557076,0.382569302095492,0.359624498525484,0.382696233705151,0.40998255972689,0.40530722081224
134425,0.455776782635894,-0.00457567212836556,0.337533855712289,0.378505960604178,0.343096981083864,0.382952140534982,0.41953761394916,0.418457139575672
134728,0.414501022333454,-0.0050049029878393,0.347632285866655,0.364460061359595,0.347159525360567,0.3648058332525,0.381071903426185,0.383574915247576
135730,0.350164099053219,-0.00519373057717315,0.31989912370082,0.334624778470954,0.320056788731406,0.334460320983565,0.31989912370082,0.334624778470954
135932,0.42773449778505,-0.0040943925201291,0.391122162877526,0.408174787495627,0.390396487555701,0.408370960051792,0.391122162877526,0.408174787495627
137128,0.441074224376216,-0.00501277722123298,0.381145606424767,0.406889361137579,0.380820183863512,0.406837146268505,0.381145606424767,0.406889361137579
137936,0.337672135107016,-0.00491798990691897,0.295158976176985,0.304609602918774,0.294934760655099,0.304962206938356,0.314293318152684,0.313562395724957
138231,0.529943195221945,-0.00367186093119307,0.37710937544446,0.414821978854745,0.422731797986435,0.440247419799105,0.489662452075327,0.485043261376163
