Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95,none_minus_all,peak_dense_minus_none_90,peak_dense_minus_all_90,peak_dense_minus_matched_random_90,none_minus_matched_random_90,peak_dense_minus_none_80,peak_dense_minus_all_80,peak_dense_minus_matched_random_80,none_minus_matched_random_80,peak_dense_minus_none_95,peak_dense_minus_all_95,peak_dense_minus_matched_random_95,none_minus_matched_random_95
103414,0.486300236356292,-0.00372864706042125,0.362420766513994,0.392517416303406,0.392462263032142,0.402451526378341,0.444541584697589,0.443272659368422,0,0,0,0,0,0,0.490028883416713,-0.09383797332415,0.396190910092563,-0.00998926334619898,0.083848709977951,-0.123879469842298,0.366149413574415,-0.030096649789412,0.093782820052886,-0.041758651658703,0.44827023175801,0.001268925329167,0.04302757698787
104820,0.3887360026917,-0.00406274589865918,0.344589021132873,0.348554609959751,0.344732712425702,0.348605816870337,0.36018185528518,0.358639164847396,0,0,0,0,0,0,0.392798748590359,-0.044003290265998,0.348795458324361,-0.00387310444463496,0.040130185821363,-0.044146981558827,0.348651767031532,-0.00396558882687803,0.040181392731949,-0.02855414740652,0.364244601183839,0.00154269043778399,0.030096837844304
108222,0.459701200794031,-0.004401312074222,0.354598671726778,0.36851299823942,0.385367936817404,0.385716856628474,0.43211381136161,0.423033290873951,0,0,0,0,0,0,0.464102512868253,-0.074333263976627,0.389769248891626,-0.000348919811069992,0.073984344165557,-0.105102529067253,0.358999983801,-0.013914326512642,0.091188202554611,-0.027587389432421,0.436515123435832,0.00908052048765901,0.03666790992008
111514,0.419875788323309,-0.0047244173396941,0.353316504031715,0.378953026843177,0.35350472413075,0.378412866794329,0.368868069232051,0.385823844210994,0,0,0,0,0,0,0.424600205663003,-0.066371064192559,0.358229141470444,-0.024908142663579,0.04146292152898,-0.066559284291594,0.358040921371409,-0.025636522811462,0.040922761480132,-0.051007719091258,0.373592486571745,-0.016955774978943,0.034051944112315
115724,0.296398137236861,-0.00522126530516865,0.274421032434919,0.277235556543701,0.274388173611382,0.277006283200675,0.274421032434919,0.277235556543701,0,0,0,0,0,0,0.30161940254203,-0.022009963625479,0.279609438916551,-0.00261810958929298,0.019391854036186,-0.021977104801942,0.279642297740088,-0.00281452410878202,0.01916258069316,-0.021977104801942,0.279642297740088,-0.00281452410878202,0.01916258069316
118023,0.364661651455133,-0.00505132121554769,0.321234450651769,0.339726405386537,0.320943233124155,0.339627430243715,0.321234450651769,0.339726405386537,0,0,0,0,0,0,0.369712972670681,-0.043718418330978,0.325994554339703,-0.01868419711956,0.025034221211418,-0.043427200803364,0.326285771867317,-0.018491954734768,0.024935246068596,-0.043427200803364,0.326285771867317,-0.018491954734768,0.024935246068596
118225,0.539184732524345,-0.00412728392291841,0.417987122411477,0.442315609065376,0.431502561379,0.445460165095149,0.494867213437352,0.491917955644541,0,0,0,0,0,0,0.543312016447263,-0.107682171145345,0.435629845301918,-0.013957603716149,0.0937245674291959,-0.121197610112868,0.422114406334395,-0.024328486653899,0.096869123458969,-0.0443175190869929,0.49899449736027,0.00294925779281102,0.047266776879804
120111,0.327377918978775,-0.00410751452368882,0.304568193620766,0.312425176364797,0.304596644760631,0.312520828092961,0.304568193620766,0.312425176364797,0,0,0,0,0,0,0.331485433502464,-0.022781274218144,0.30870415928432,-0.00792418333233003,0.014857090885814,-0.022809725358009,0.308675708144455,-0.00785698274403102,0.014952742613978,-0.022809725358009,0.308675708144455,-0.00785698274403102,0.014952742613978
124422,0.379786859041203,-0.00505231753079206,0.292359441788653,0.328852797404962,0.292960383219291,0.328753447171997,0.351726397155016,0.350486155824642,0,0,0,0,0,0,0.384839176571995,-0.086826475821912,0.298012700750083,-0.035793063952706,0.051033411869206,-0.08742741725255,0.297411759319445,-0.036493355616309,0.050934061636241,-0.028060461886187,0.356778714685808,0.00124024133037404,0.029300703216561
124624,0.377317670933203,-0.00518596319196921,0.351220054177035,0.354551879205316,0.351323308327502,0.354536635468606,0.351220054177035,0.354551879205316,0,0,0,0,0,0,0.382503634125172,-0.025994362605701,0.356509271519471,-0.00321332714110395,0.022781035464597,-0.026097616756168,0.356406017369004,-0.003331825028281,0.022765791727887,-0.026097616756168,0.356406017369004,-0.003331825028281,0.022765791727887
