Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95,none_minus_all,peak_dense_minus_none_90,peak_dense_minus_all_90,peak_dense_minus_matched_random_90,none_minus_matched_random_90,peak_dense_minus_none_80,peak_dense_minus_all_80,peak_dense_minus_matched_random_80,none_minus_matched_random_80,peak_dense_minus_none_95,peak_dense_minus_all_95,peak_dense_minus_matched_random_95,none_minus_matched_random_95
100206,0.3595029182365,-0.00508791020887041,0.312333257746712,0.30296542121092,0.312282924284488,0.303158447213961,0.33158608405711,0.326755596007668,0,0,0,0,0,0,0.36459082844537,-0.047219993952012,0.317370834493358,0.00912447707052699,0.056344471022539,-0.047169660489788,0.317421167955582,0.00936783653579198,0.05653749702558,-0.02791683417939,0.33667399426598,0.00483048804944197,0.032747322228832
100307,0.439531254639413,-0.00482639087558238,0.334422024033321,0.325918347591531,0.373196597650187,0.358725448663703,0.409562643326559,0.398131267887073,0,0,0,0,0,0,0.444357645514995,-0.066334656989226,0.378022988525769,0.014471148986484,0.08080580597571,-0.105109230606092,0.339248414908903,0.00850367644179001,0.113612907047882,-0.029968611312854,0.414389034202141,0.011431375439486,0.04139998675234
100408,0.326621498071908,-0.00517828849135905,0.266973368737785,0.264111594444419,0.273049369438538,0.267585989069587,0.304513544557426,0.296282645643026,0,0,0,0,0,0,0.331799786563267,-0.05357212863337,0.278227657929897,0.005463380368951,0.059035509002321,-0.059648129334123,0.272151657229144,0.00286177429336598,0.062509903627489,-0.022107953514482,0.309691833048785,0.00823089891440004,0.030338852428882
100610,0.360085794801205,-0.00357119258642664,0.320532282784084,0.304651261888596,0.320474422774462,0.304404424492609,0.336950651654378,0.326149411850316,0,0,0,0,0,0,0.363656987387632,-0.039611372026743,0.324045615360889,0.016069998281853,0.055681370308596,-0.039553512017121,0.324103475370511,0.015881020895488,0.055434532912609,-0.023135143146827,0.340521844240805,0.010801239804062,0.033936382950889
101006,0.37198032161869,-0.00448483736439554,0.332116130404025,0.324256009336316,0.332063333492999,0.324038789767782,0.342100499311188,0.338914839679036,0,0,0,0,0,0,0.376465158983086,-0.039916988125691,0.336548170857395,0.00802454372521699,0.047941531850908,-0.039864191214665,0.336600967768421,0.007860121067709,0.047724312282374,-0.029879822307502,0.346585336675584,0.003185659632152,0.033065481939654
101107,0.454930510092925,-0.00418071233324038,0.388153275792842,0.386267832912798,0.388086162798362,0.38631750810341,0.414222876186169,0.41207111624226,0,0,0,0,0,0,0.459111222426165,-0.066844347294563,0.392266875131602,0.00176865469495202,0.068613001989515,-0.066777234300083,0.392333988126082,0.001885442880044,0.068662677180127,-0.040707633906756,0.418403588519409,0.00215175994390898,0.042859393850665
101309,0.437450292498106,-0.00381839374457911,0.391190843533668,0.385229258287707,0.39140093864753,0.385171019565553,0.407006555563739,0.397457070527209,0,0,0,0,0,0,0.441268686242685,-0.046049353850576,0.395219332392109,0.00622991908197701,0.052279272932553,-0.046259448964438,0.395009237278247,0.00596158524596102,0.052221034210399,-0.030443736934367,0.410824949308318,0.00954948503652997,0.039993221970897
101915,0.304764509142533,-0.00566004093884078,0.277870134997767,0.273284728937927,0.277884732777691,0.273154865434186,0.286102347734917,0.278412318754456,0,0,0,0,0,0,0.310424550081374,-0.026879776364842,0.283544773716532,0.004729867343505,0.031609643708347,-0.026894374144766,0.283530175936608,0.00458540605984004,0.031479780204606,-0.018662161407616,0.291762388673758,0.00769002898046101,0.026352190388077
102008,0.170573844610181,-0.00617182202162192,0.151820002692517,0.146658919744089,0.151914981356337,0.146856417272623,0.160439154700298,0.153013048394158,0,0,0,0,0,0,0.176745666631803,-0.018658863253844,0.158086803377959,0.005058564083714,0.023717427337558,-0.018753841917664,0.157991824714139,0.00516108294842799,0.023914924866092,-0.010134689909883,0.16661097672192,0.00742610630613999,0.017560796216023
102109,0.379248915763245,-0.00425944478155583,0.295683797104753,0.291709790894533,0.322570512741168,0.31236166730864,0.355514129120689,0.346255713550394,0,0,0,0,0,0,0.383508360544801,-0.056678403022077,0.326829957522724,0.010208845432528,0.066887248454605,-0.083565118658492,0.299943241886309,0.00397400621021998,0.087539124868712,-0.023734786642556,0.359773573902245,0.00925841557029505,0.032993202212851
