Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95
120717,0.27307759709971,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121416,0.549871029420611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121618,0.415649930991906,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121921,0.240454019372274,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122317,0.261982272736563,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122620,0.443828222224262,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122822,0.318590846114892,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123117,0.328492922405094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123420,0.20221225034366,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123521,0.28309878163251,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123723,0.190260173975368,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123824,0.160985698950761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123925,0.20685114687952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124220,0.0607811723679756,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125222,0.234996119918321,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125525,0.378717062681348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126325,0.413887592124509,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126426,0.440552323126094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126628,0.191076675030884,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127327,0.218365213575866,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127630,0.273458974294323,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127832,0.337526228990271,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127933,0.401576414302038,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128026,0.18700588738048,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128127,0.284811749042474,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128632,0.466204408859711,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128935,0.29364486517282,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129028,0.576726884967366,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129331,0.215005627950996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129634,0.327530421254562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130114,0.539501556854505,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130316,0.253132750602044,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130417,0.279547981469471,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130518,0.33317888191949,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130619,0.304005955531529,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130720,0.318372509790532,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131217,0.25322212970467,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131419,0.385675378713554,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131722,0.322304808480862,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131823,0.281456340192042,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132017,0.268839189656019,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133019,0.292577636312392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133827,0.463818529713184,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133928,0.709023206939987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134021,0.4142595601166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134223,0.360755623627573,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134324,0.287876399373264,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134829,0.374055599290497,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135124,0.417820861951833,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135225,0.324049762420544,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135528,0.635203329805193,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135629,0.280668936694207,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136227,0.303078687313303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136631,0.250943000376016,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136833,0.454848737980769,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137027,0.401025034945355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137229,0.378617477987601,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137532,0.327755919602732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138130,0.369797151320366,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138332,0.357692396526018,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138534,0.432702957280919,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138837,0.472049983846408,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139233,0.26882067878278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139435,0.299096287145584,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139637,0.498819893745335,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139839,0.378976595875742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140319,0.166291700883898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140925,0.126340045732039,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143224,0.388388842817598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144832,0.276273287148237,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145127,0.501955967580131,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145632,0.282261785984552,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146129,0.25496426111716,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146533,0.349711350618842,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146836,0.357468362622765,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146937,0.69517938729609,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147636,0.27773025012367,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147737,0.265495243729455,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148133,0.344884869434163,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148840,0.421962005372571,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148941,0.322206708151308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149236,0.330318901457213,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149741,0.231629534297065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149842,0.267664261122196,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150726,0.18747678966119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150928,0.363551699978925,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151223,0.130280055295631,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151324,0.487443691941625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151425,0.388746674915303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151627,0.257815424979362,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151728,0.0812050749760859,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151930,0.476171440734528,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152427,0.213684360629823,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153126,0.439457691607436,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153227,0.270573251290283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153833,0.165271040853497,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153934,0.478648560340045,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154229,0.482126217828902,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154532,0.250816381819942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154734,0.46004325587222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154835,0.474657088357453,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154936,0.262450371757203,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156031,0.37552312746518,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156233,0.163111574103722,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156334,0.312258979696475,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156435,0.372910752758611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156536,0.294721152194332,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156637,0.208538447067415,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157437,0.183329531061994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157942,0.418491245470924,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158136,0.364294943438889,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158843,0.530343641085785,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159138,0.343296475792121,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159239,0.498950440542682,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159340,0.346812913010227,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159441,0.206111073044672,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159744,0.317818902274951,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160729,0.235964902666364,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160830,0.389031263535169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161630,0.265314243090931,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162228,0.32311543000429,NaN,NaN,NaN,NaN,NaN,NaN,NaN
