Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95
100206,0.3595029182365,-0.00508791020887041,0.312333257746712,0.30296542121092,0.312282924284488,0.303158447213961,0.33158608405711,0.326755596007668,0,0,0,0,0,0
100307,0.439531254639413,-0.00482639087558238,0.334422024033321,0.325918347591531,0.373196597650187,0.358725448663703,0.409562643326559,0.398131267887073,0,0,0,0,0,0
100408,0.326621498071908,-0.00517828849135905,0.266973368737785,0.264111594444419,0.273049369438538,0.267585989069587,0.304513544557426,0.296282645643026,0,0,0,0,0,0
100610,0.360085794801205,-0.00357119258642664,0.320532282784084,0.304651261888596,0.320474422774462,0.304404424492609,0.336950651654378,0.326149411850316,0,0,0,0,0,0
101006,0.37198032161869,-0.00448483736439554,0.332116130404025,0.324256009336316,0.332063333492999,0.324038789767782,0.342100499311188,0.338914839679036,0,0,0,0,0,0
101107,0.454930510092925,-0.00418071233324038,0.388153275792842,0.386267832912798,0.388086162798362,0.38631750810341,0.414222876186169,0.41207111624226,0,0,0,0,0,0
101309,0.437450292498106,-0.00381839374457911,0.391190843533668,0.385229258287707,0.39140093864753,0.385171019565553,0.407006555563739,0.397457070527209,0,0,0,0,0,0
101915,0.304764509142533,-0.00566004093884078,0.277870134997767,0.273284728937927,0.277884732777691,0.273154865434186,0.286102347734917,0.278412318754456,0,0,0,0,0,0
102008,0.170573844610181,-0.00617182202162192,0.151820002692517,0.146658919744089,0.151914981356337,0.146856417272623,0.160439154700298,0.153013048394158,0,0,0,0,0,0
102109,0.379248915763245,-0.00425944478155583,0.295683797104753,0.291709790894533,0.322570512741168,0.31236166730864,0.355514129120689,0.346255713550394,0,0,0,0,0,0
102311,0.302329164109546,-0.00509036400278093,0.257732650238071,0.270023370345586,0.257954764343605,0.269916984315251,0.272235531152269,0.277623760647281,0,0,0,0,0,0
102513,0.573003420969265,-0.00330225495153143,0.426314511164289,0.433129473710418,0.479856241036179,0.466934084468316,0.531902563666307,0.519007375938348,0,0,0,0,0,0
102614,0.43360957424272,-0.00358011150519316,0.370159723926415,0.354209174187766,0.371193275285595,0.355623000599729,0.403695408107813,0.393700326455881,0,0,0,0,0,0
102816,0.287187087098095,-0.00564177196627833,0.262058696557566,0.256396554742362,0.262018840613652,0.256337907141758,0.268931086017131,0.26334642446908,0,0,0,0,0,0
103111,0.486967251069993,-0.00386332752976265,0.37499025353454,0.371443442868191,0.410159221063136,0.397822452244594,0.450956209866109,0.441771087512785,0,0,0,0,0,0
103212,0.340604609845619,-0.00444943443984895,0.311743043127282,0.309618730091983,0.311771015077631,0.309617943411581,0.311842273247344,0.309566950869947,0,0,0,0,0,0
103515,0.230664740350369,-0.00506219622931156,0.2191061456427,0.217880490271051,0.219012114773765,0.21782591369652,0.21905667411165,0.217988666978579,0,0,0,0,0,0
103818,0.286118500288832,-0.00530227549793613,0.234841370604745,0.230281833017953,0.23817779494093,0.233070694631006,0.264044243517496,0.260214542319965,0,0,0,0,0,0
104012,0.363441158224295,-0.00395867495737025,0.336418821730411,0.325633822327502,0.336376779960915,0.3255426015772,0.33798342892361,0.32916095059216,0,0,0,0,0,0
104416,0.40282546537293,-0.00433096555593027,0.355530437731048,0.352680894936876,0.355389716972387,0.352884822729154,0.372645032212901,0.365909717779507,0,0,0,0,0,0
105014,0.240954874956497,-0.00609847550263128,0.212613606172528,0.208008030621901,0.212432317874442,0.207957001894836,0.225293631812092,0.21971243100887,0,0,0,0,0,0
105115,0.370884124930275,-0.00468400920127208,0.324111757615493,0.314312820403823,0.324008946180611,0.314191334490395,0.343477604471821,0.334378957054215,0,0,0,0,0,0
105216,0.445498943303011,-0.00413247357212496,0.401526882087502,0.382541075260881,0.401602326142133,0.382492111323736,0.41892007855837,0.403558762674458,0,0,0,0,0,0
105620,0.319341411039224,-0.00499598683311055,0.270170623420815,0.271627450324929,0.270271796539233,0.272022242129049,0.293515398954238,0.290070570351731,0,0,0,0,0,0
