Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95
100206,0.207929644703422,-0.00756348325217785,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0,0,0,0,0,0
100307,0.229584036550661,-0.00655077314896915,0.209149089972517,0.219626668565005,0.20884126540466,0.219718703972002,0.2121454822224,0.22121918305651,0,0,0,0,0,0
100408,0.230054873980474,-0.0101094053730205,0.19428123609428,0.212262100461595,0.194119143802508,0.21249415558067,0.229325696817854,0.22310478315927,0,0,0,0,0,0
100610,0.2008012967371,-0.00625225220671306,0.188423698314039,0.193404086263324,0.188533810250123,0.193440400783164,0.188423698314039,0.193404086263324,0,0,0,0,0,0
101006,0.19552888488402,-0.00999015257372787,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
101107,0.128240982334072,-0.00997649954642802,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0,0,0,0,0,0
101309,0.244539207175926,-0.0100122984182099,0.208614922839506,0.216533523099923,0.214016706452547,0.222930584249614,0.233388080150464,0.233896304976852,0,0,0,0,0,0
101915,0.208409687126268,-0.0105984294828517,0.199238120153543,0.205117862326878,0.20002726071525,0.205289361786775,0.199238120153543,0.205117862326878,0,0,0,0,0,0
102008,0.27067207959118,-0.00773754047248507,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0,0,0,0,0,0
102109,0.206831860454296,-0.00719932282673876,0.197965866383722,0.194817187693856,0.197953399307027,0.195139344173576,0.203034701858309,0.197820227606983,0,0,0,0,0,0
102311,0.150320251563036,-0.0124929275811452,0.125031985645584,0.140113246312405,0.124916929570424,0.139851417361182,0.150320251563037,0.144930542301809,0,0,0,0,0,0
102513,0.256177325581395,-0.00976194506532248,0.237822855048337,0.240227000342246,0.238238569623783,0.240610116268507,0.240269195342077,0.244083638432092,0,0,0,0,0,0
102614,0.261024770146025,-0.00742993985938347,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
102816,0.188277426874775,-0.0088922308960019,0.186585515929146,0.186454898236826,0.186714916383879,0.18639477145396,0.186585515929146,0.186454898236826,0,0,0,0,0,0
103111,0.205424122896888,-0.0102893811803231,0.192916056934863,0.190225526062655,0.193190628818235,0.18996544307652,0.196446887403334,0.194654441911603,0,0,0,0,0,0
103212,0.184213717576383,-0.0102973607517988,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
103515,0.190392464678179,-0.0126325486052409,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
103818,0.210961301479186,-0.0109850904376329,0.210961301479187,0.210961301479187,0.210961301479187,0.210961301479187,0.210961301479187,0.210961301479187,0,0,0,0,0,0
104012,0.203008823402644,-0.00792677758006021,0.203008823402643,0.203008823402643,0.203008823402643,0.203008823402643,0.203008823402643,0.203008823402643,0,0,0,0,0,0
104416,0.297204457971873,-0.0069101151493907,0.289652907922286,0.287354034147259,0.289650723964449,0.287313865211138,0.289652907922286,0.287354034147259,0,0,0,0,0,0
105014,0.201568023166461,-0.0112706798137408,0.201568023166461,0.198306505995185,0.201568023166461,0.19874737550589,0.201568023166461,0.198306505995185,0,0,0,0,0,0
105115,0.146581151640193,-0.0094756779607262,0.144659654200802,0.144732634298486,0.144813961834558,0.144719181915149,0.144659654200802,0.144732634298486,0,0,0,0,0,0
105216,0.189291729235472,-0.0113862483906533,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
105620,0.267911492409894,-0.00724759558475379,0.263972000500388,0.265794277783158,0.264401352391099,0.265630996241714,0.263972000500388,0.265794277783158,0,0,0,0,0,0
105923,0.238766834123824,-0.0105516855437913,0.238766834123823,0.234577097065963,0.238766834123823,0.234654964964765,0.238766834123823,0.234577097065963,0,0,0,0,0,0
106016,0.172499407540494,-0.011721077544092,0.161981148371543,0.167343282453987,0.161702027904252,0.167142176109671,0.161981148371543,0.167343282453987,0,0,0,0,0,0
106521,0.174680220077934,-0.010012697509708,0.174680220077933,0.174680220077933,0.174680220077933,0.174680220077933,0.174680220077933,0.174680220077933,0,0,0,0,0,0
106824,0.226057521312211,-0.00878905529454928,0.226057521312212,0.223028109697375,0.226057521312212,0.222865547881773,0.226057521312212,0.223028109697375,0,0,0,0,0,0
107018,0.250512563385934,-0.00818793073067585,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
107321,0.188004941124451,-0.00978635073635019,0.172718804513801,0.176545769303909,0.172868243638457,0.176714044017648,0.18282784602945,0.183525785269286,0,0,0,0,0,0
107422,0.207774727824853,-0.0106908265512012,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
107725,0.220810384982151,-0.01155172280735,0.220810384982151,0.211141163305663,0.220810384982151,0.211402053202479,0.220810384982151,0.214295945095115,0,0,0,0,0,0
108020,0.207780779840064,-0.00734141225276494,0.207780779840064,0.207780779840064,0.207780779840064,0.207780779840064,0.207780779840064,0.207780779840064,0,0,0,0,0,0
108121,0.137648724377447,-0.0109908645693538,0.137648724377447,0.137648724377447,0.137648724377447,0.137648724377447,0.137648724377447,0.137648724377447,0,0,0,0,0,0
108323,0.246042655754149,-0.00890694845999619,0.234789596586025,0.232166464580468,0.234324829529628,0.232497495351743,0.238776962872782,0.240261841997531,0,0,0,0,0,0
108525,0.201943996857333,-0.00705748007266519,0.199224558358982,0.200467867357964,0.19935975033022,0.200533112404278,0.199224558358982,0.200467867357964,0,0,0,0,0,0
108828,0.224547887079436,-0.00914901552557607,0.224547887079437,0.224547887079437,0.224547887079437,0.224547887079437,0.224547887079437,0.224547887079437,0,0,0,0,0,0
109123,0.212310196616369,-0.00740333363816491,0.199022311111111,0.19892169218107,0.198870572168876,0.198638657887517,0.203572119250114,0.205568414570949,0,0,0,0,0,0
109325,0.265725703351428,-0.00732531949379777,0.261965469263466,0.263383150374262,0.262159592246975,0.263289641916335,0.261965469263466,0.263383150374262,0,0,0,0,0,0
109830,0.228126794477892,-0.0104327464835633,0.194449008338217,0.213641758203539,0.194277848076912,0.213581003842033,0.203756887280149,0.216174543314627,0,0,0,0,0,0
110007,0.179766952856911,-0.0106309198733201,0.179766952856911,0.179766952856911,0.179766952856911,0.179766952856911,0.179766952856911,0.179766952856911,0,0,0,0,0,0
110411,0.20071073900301,-0.00884164163374598,0.200710739003009,0.198521322470005,0.200710739003009,0.198665668948821,0.200710739003009,0.198521322470005,0,0,0,0,0,0
110613,0.174691475329354,-0.00911039843346253,0.174691475329354,0.174691475329354,0.174691475329354,0.174691475329354,0.174691475329354,0.174691475329354,0,0,0,0,0,0
111009,0.231094356092754,-0.00818277532453109,0.213056832632247,0.221656534623293,0.21264887542649,0.221207171225386,0.223023115541037,0.22387491420361,0,0,0,0,0,0
111211,0.2009624610723,-0.0116843586398451,0.183125705327835,0.194055679235755,0.183478609544651,0.194189398619645,0.183125705327835,0.194055679235755,0,0,0,0,0,0
111312,0.218374804500174,-0.00770675523377932,0.218374804500174,0.218374804500174,0.218374804500174,0.218374804500174,0.218374804500174,0.218374804500174,0,0,0,0,0,0
111413,0.16237376226341,-0.00889317442161001,0.162373762263409,0.162373762263409,0.162373762263409,0.162373762263409,0.162373762263409,0.162373762263409,0,0,0,0,0,0
111716,0.244453279695603,-0.00812367543259119,0.216436758826889,0.225464608132874,0.216272900432844,0.225285202940247,0.22973205390344,0.236053906375112,0,0,0,0,0,0
112112,0.268247397405402,-0.00576765014654831,0.258855845110263,0.260325610193593,0.258903205920617,0.260405571571892,0.258855845110263,0.260325610193593,0,0,0,0,0,0
112314,0.241190854766854,-0.00511179481792411,0.241190854766855,0.241190854766855,0.241190854766855,0.241190854766855,0.241190854766855,0.241190854766855,0,0,0,0,0,0
