cohort,simplex,correlation,confidence_interval_lower,confidence_interval_upper,n
one,node,0.170276906757866,0.0715488752058219,0.265700775540629,385
one,edge,0.492885022136757,0.413299172319623,0.564997928824616,385
one,triangle,0.410928074695219,0.324183929284351,0.490819500624083,384
two,node,0.100124859134329,-0.0110365376585475,0.208841708133955,312
two,edge,0.523991001898308,0.438463552878995,0.60011314771465,312
two,triangle,0.489934782138997,0.400694559500774,0.569966329495813,312
