cohort,comparison,r1,r2,z_steiger,f,p_steiger,p_fisher
one,node vs edge,0.170276906757866,0.492885022136757,-4.9435488421242,0.0505759501578131,7.67131194271724e-07,3.68309272237682e-07
one,node vs triangle,0.170276906757866,0.410928074695219,-3.55077461977851,0.0356387205190071,0.000384099184966777,0.000255312064366091
one,edge vs triangle,0.492885022136757,0.410928074695219,1.13586935855063,0.315940879403903,0.256011243940898,0.154318342094103
two,node vs edge,0.100124859134329,0.523991001898308,-5.94585228009469,0.0870560079437376,2.75022086081216e-09,2.18714572678011e-09
two,node vs triangle,0.100124859134329,0.489934782138997,-5.37132094111312,0.0674939064828353,7.81619560231218e-08,6.18594127968343e-08
two,edge vs triangle,0.523991001898308,0.489934782138997,0.44003849234755,0.342410222771242,0.659909228713772,0.568732531530889
