cohort,session,test_type,simplex,num_valid,t_statistic,degree_of_freedom,p_value,cohens_d,significance_bonferroni
one,LR,peak_dense_minus_none,node,328,-13.3670151831724,327,8.18707754739737e-33,-0.738069942871684,***
one,LR,peak_dense_minus_all,node,328,105.325046323173,327,2.23090628696858e-254,5.81560279968598,***
one,LR,none_minus_all,node,394,109.466270485419,393,1.65379316812705e-296,5.51483103596989,***
one,LR,peak_dense_minus_none,edge,394,-34.8224608643321,393,3.59141592098786e-122,-1.75433023407009,***
one,LR,peak_dense_minus_all,edge,394,163.468043777754,393,0,8.23540107119044,***
one,LR,none_minus_all,edge,394,127.146737354037,393,2.32210853545386e-321,6.40556008871934,***
one,LR,peak_dense_minus_none,triangle,394,-29.2031746181046,393,1.68678751804717e-100,-1.47123468278042,***
one,LR,peak_dense_minus_all,triangle,394,70.810943296144,393,7.76215832534274e-226,3.56740378606299,***
one,LR,none_minus_all,triangle,394,62.4652832147115,393,3.53041030293968e-206,3.14695550524877,***
one,LR,paired_edge_vs_node,edge-node,328,-29.5462345895875,327,2.49192239723239e-94,-1.63141788774678,***
one,LR,paired_edge_vs_triangle,edge-triangle,394,-15.184357924226,393,2.64588570965215e-41,-0.764976900834043,***
one,LR,paired_triangle_vs_node,triangle-node,328,-22.6205932328274,327,7.42001695172526e-69,-1.24901331570974,***
two,LR,peak_dense_minus_none,node,269,-10.701753202925,268,1.73348463279678e-22,-0.652497408778104,***
two,LR,peak_dense_minus_all,node,269,87.5866920322692,268,3.11294148079995e-199,5.34025486393026,***
two,LR,none_minus_all,node,319,94.4543945682631,318,1.01101099828243e-234,5.28843081456398,***
two,LR,peak_dense_minus_none,edge,319,-30.3551009668358,318,5.99502574392355e-96,-1.69955937006402,***
two,LR,peak_dense_minus_all,edge,319,141.037900905041,318,9.03101445141573e-289,7.89660644776666,***
two,LR,none_minus_all,edge,319,108.313563531613,318,4.63567408643147e-253,6.06439530562915,***
two,LR,peak_dense_minus_none,triangle,319,-26.2668728742664,318,1.17836701123914e-81,-1.47066254085312,***
two,LR,peak_dense_minus_all,triangle,319,64.853961977566,318,2.10558596578824e-185,3.63112476170549,***
two,LR,none_minus_all,triangle,319,56.4202419551045,318,1.0604391185825e-167,3.15892709369803,***
two,LR,paired_edge_vs_node,edge-node,269,-27.8024601691837,268,6.08850983133528e-81,-1.69514591432463,***
two,LR,paired_edge_vs_triangle,edge-triangle,319,-12.5553645960769,318,1.2205567256914e-29,-0.702965460966374,***
two,LR,paired_triangle_vs_node,triangle-node,269,-22.1208134663925,268,2.12448453514953e-62,-1.34872980092083,***
