Subject,task 1,task 2,TR 1 within task,TR 2 within task,is maximum across tasks,TR 1 in concatenated tasks,TR 2 in concatenated tasks,pdist
100206,WM,WM,8,19,1,1958,1969,1.9393407389569
100206,REST,REST,363,377,0,363,377,1.83292390560724
