Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),p-value (one-tail),Significance (one-tail)
Node,Conscientiousness,None,0.0295,0.0327,935,0.905,0.366,0,0.183,0
Node,Neuroticism,None,-0.0298,0.0327,935,-0.911,0.362,0,0.181,0
Node,Agreeableness,None,0.0734,0.0326,935,2.25,0.0246,*,0.0123,*
Node,Externalizing,None,-0.0449,0.0326,935,-1.38,0.169,0,0.0847,0
Node,Internalizing,None,-0.0342,0.0327,935,-1.05,0.296,0,0.148,0
Node,Fluid Intelligence (PMAT24),None,0.108,0.0325,935,3.33,0.000895,***,0.000448,***
Node,Conscientiousness,Demographics,0.0347,0.0316,933,1.1,0.272,0,0.136,0
Node,Neuroticism,Demographics,-0.0238,0.0321,933,-0.742,0.458,0,0.229,0
Node,Agreeableness,Demographics,0.0741,0.0315,933,2.35,0.0191,*,0.00955,**
Node,Externalizing,Demographics,-0.0434,0.032,933,-1.36,0.175,0,0.0873,0
Node,Internalizing,Demographics,-0.0328,0.0323,933,-1.02,0.309,0,0.155,0
Node,Fluid Intelligence (PMAT24),Demographics,0.0984,0.03,933,3.27,0.0011,**,0.000548,***
Node,Conscientiousness,Head Motion,0.0302,0.0344,934,0.878,0.38,0,0.19,0
Node,Neuroticism,Head Motion,-0.0253,0.0344,934,-0.736,0.462,0,0.231,0
Node,Agreeableness,Head Motion,0.0428,0.0342,934,1.25,0.211,0,0.106,0
Node,Externalizing,Head Motion,-0.011,0.0342,934,-0.321,0.749,0,0.374,0
Node,Internalizing,Head Motion,-0.036,0.0344,934,-1.05,0.295,0,0.147,0
Node,Fluid Intelligence (PMAT24),Head Motion,0.0265,0.0331,934,0.801,0.423,0,0.212,0
Node,Conscientiousness,Head Motion + Family,0.0304,0.0334,934,0.91,0.363,0,0.181,0
Node,Neuroticism,Head Motion + Family,-0.0262,0.0341,934,-0.77,0.442,0,0.221,0
Node,Agreeableness,Head Motion + Family,0.0421,0.0339,934,1.24,0.215,0,0.108,0
Node,Externalizing,Head Motion + Family,-0.0091,0.034,934,-0.268,0.789,0,0.395,0
Node,Internalizing,Head Motion + Family,-0.0346,0.0341,934,-1.02,0.31,0,0.155,0
Node,Fluid Intelligence (PMAT24),Head Motion + Family,0.0353,0.0314,934,1.12,0.262,0,0.131,0
Node,Conscientiousness,Demographics + Head Motion,0.0268,0.0333,932,0.803,0.422,0,0.211,0
Node,Neuroticism,Demographics + Head Motion,-0.0213,0.0339,932,-0.627,0.531,0,0.265,0
Node,Agreeableness,Demographics + Head Motion,0.0394,0.0332,932,1.19,0.235,0,0.117,0
Node,Externalizing,Demographics + Head Motion,-0.0027,0.0335,932,-0.0805,0.936,0,0.468,0
Node,Internalizing,Demographics + Head Motion,-0.0285,0.0341,932,-0.836,0.403,0,0.202,0
Node,Fluid Intelligence (PMAT24),Demographics + Head Motion,0.0358,0.0314,932,1.14,0.254,0,0.127,0
Edge,Conscientiousness,None,0.0745,0.0326,935,2.29,0.0224,*,0.0112,*
Edge,Neuroticism,None,-0.0338,0.0326,935,-1.04,0.301,0,0.15,0
