Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),p-value (one-tail),Significance (one-tail),"p-value (two-tail, BH corrected)","Significance (two-tail, BH corrected)","p-value (one-tail, BH corrected)","Significance (one-tail, BH corrected)"
Node,Agreeableness,None,0.055,0.0568,309,0.969,0.333,0,0.167,0,0.333,0,0.167,0
Node,Fluid Intelligence,None,0.0961,0.0566,309,1.7,0.0907,0,0.0454,*,0.1814,0,0.0908,0
Node,Agreeableness,Head Motion,0.0378,0.0594,308,0.636,0.525,0,0.263,0,0.525,0,0.263,0
Edge,Conscientiousness,None,0.0316,0.0566,309,0.558,0.577,0,0.289,0,0.577,0,0.289,0
Edge,Externalizing,None,-0.103,0.0564,309,-1.82,0.0699,0,0.0349,*,0.2097,0,0.1047,0
Edge,Internalizing,None,-0.0779,0.0565,309,-1.38,0.169,0,0.0845,0,0.2535,0,0.12675,0
Edge,Conscientiousness,Head Motion,0.0241,0.0623,308,0.387,0.699,0,0.349,0,0.699,0,0.349,0
Triangle,Externalizing,None,-0.0946,0.0566,309,-1.67,0.0958,0,0.0479,*,0.1916,0,0.0958,0
Triangle,Internalizing,None,-0.0604,0.0568,309,-1.06,0.288,0,0.144,0,0.288,0,0.144,0
