subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
100206,0.14377682798628,145,1805,0.172797150563863,118,1441,0.104519540101874,131,1663
100307,0.126726030628538,109,1328,0.248497220325197,108,1444,0.0739247232063556,109,1422
100408,0.157746354750841,127,1580,0.194992368138391,106,1330,0.1019778960406,112,1383
100610,0.120970812419259,159,1938,0.124460105571516,114,1506,0.0808312728799539,127,1623
101006,0.166259678412923,136,1647,0.235740490436097,139,1783,0.0763338554784946,158,2078
101107,0.179119449336985,119,1436,0.23554933251079,128,1661,0.101561172237092,212,2645
101309,0.180341282614255,228,2811,0.232372381542404,170,2132,0.124962257480494,204,2612
101915,0.241195121279131,117,1524,0.195887611749681,102,1305,0.125090201397146,184,2320
102008,0.133721054450624,121,1545,0.182458672422264,145,1891,0.0803341289151568,123,1609
102109,0.212075845660831,137,1683,0.202680654848385,145,1811,0.0909427303654697,187,2305
102311,0.171373407344791,123,1532,0.21293035219628,105,1330,0.108382207002227,177,2205
102513,0.255590214261781,118,1473,0.201632008043868,105,1317,0.106883820757695,128,1665
102614,0.165583570983882,120,1506,0.182345559426911,103,1315,0.123747969257016,186,2415
102816,0.204431737753439,120,1496,0.252664897835079,124,1618,0.136657946581886,156,2004
103111,0.203640947498188,121,1506,0.223472128812441,121,1588,0.112270519968396,164,2072
103212,0.185850253452487,135,1692,0.179307694576235,102,1289,0.125987982336752,181,2239
103515,0.166678956773024,110,1368,0.25114083502749,153,1887,0.115767521761828,235,2870
103818,0.142181019512083,129,1627,0.174787785315024,132,1591,0.0691734386413441,111,1480
104012,0.194623358245816,194,2386,0.143286602364757,102,1283,0.15887659004866,674,19678
104416,0.252220879985822,139,1752,0.234378285044065,161,2093,0.236295507233437,972,27136
105014,0.167268865405432,120,1517,0.238742202006273,106,1347,0.121114410196793,149,1854
105115,0.188158754110176,240,2980,0.185408886456823,112,1479,0.107732258833761,123,1602
105216,0.212397793313212,144,1795,0.175575706583319,131,1697,0.050315655253726,123,1597
105620,0.188435167370981,136,1684,0.177340656349902,121,1583,0.231138548904532,659,13872
