subject,LR_node_modularity,LR_edge_modularity,LR_triangle_modularity,RL_node_modularity,RL_edge_modularity,RL_triangle_modularity,both_node_modularity,both_edge_modularity,both_triangle_modularity
101410,0.24269820498843,0.377756958179206,0.434539999438341,0.190784473494645,0.48149294107773,0.54851195840402,0.216741339241537,0.429624949628468,0.49152597892118
103414,0.189398014493288,0.486300236356292,0.306562600440492,0.191173256697474,0.338628212600901,0.269721800682699,0.190285635595381,0.412464224478596,0.288142200561596
104820,0.183269747400781,0.3887360026917,0.226846563616342,0.240868584745905,0.551966251004452,0.393752898024829,0.212069166073343,0.470351126848076,0.310299730820585
108222,0.19103179533125,0.459701200794031,0.284239034216468,0.238281616508726,0.485559302037602,0.499120821559029,0.214656705919988,0.472630251415816,0.391679927887749
111514,0.181537682823377,0.419875788323309,0.360178188423057,0.22015829748218,0.507146137060078,0.441401725625357,0.200847990152778,0.463510962691694,0.400789957024207
113619,0.195369785183057,0.4917548563894,0.390053785266468,0.258613810866633,0.49467875210416,0.390490275770189,0.226991798024845,0.49321680424678,0.390272030518328
114116,0.194400635402882,0.434136748177003,0.414349668383077,0.166030241993176,0.373839294015103,0.330625754698967,0.180215438698029,0.403988021096053,0.372487711541022
115724,0.183062148925394,0.296398137236861,0.27421064397742,0.212851196034649,0.486941281535345,0.353793461964098,0.197956672480021,0.391669709386103,0.314002052970759
116221,0.20103490822854,0.471762808231063,0.468146230432378,0.182296963603304,0.457464866114646,0.333739168184392,0.191665935915922,0.464613837172854,0.400942699308385
118023,0.209119875469986,0.364661651455133,0.346522152678597,0.283760528125395,0.444120219852419,0.36351206525834,0.24644020179769,0.404390935653776,0.355017108968468
118225,0.200733363836541,0.539184732524345,0.489910714027005,0.17111474119123,0.515375398241798,0.418287360249214,0.185924052513885,0.527280065383071,0.45409903713811
119732,0.177176365941645,0.401171581774338,0.454337926616969,0.178675941809513,0.39980843381909,0.52272855239913,0.177926153875579,0.400490007796714,0.488533239508049
119833,0.220678138521905,0.359337757306357,0.250350688146916,0.287819997941813,0.434523401054284,0.352404402906431,0.254249068231859,0.39693057918032,0.301377545526674
120111,0.17502728687274,0.327377918978775,0.355865264647515,0.254926275194123,0.395107901259542,0.303802036907422,0.214976781033431,0.361242910119158,0.329833650777469
122418,0.220378328253032,0.45251855467097,0.462901266503234,0.17375182237006,0.569372046606592,0.635323902228577,0.197065075311546,0.510945300638781,0.549112584365905
124422,0.215067020883932,0.379786859041203,0.187875126846191,0.220829912598717,0.417530671370703,0.188685960863202,0.217948466741325,0.398658765205953,0.188280543854697
124624,0.263381662858,0.377317670933203,0.180669659303645,0.277661166988565,0.346231986145445,0.397956246079294,0.270521414923283,0.361774828539324,0.28931295269147
124826,0.197312513433412,0.440772615320636,0.434342950245973,0.261589918291697,0.451086143119491,0.453768601329531,0.229451215862554,0.445929379220063,0.444055775787752
125424,0.158219893518954,0.400986467758093,0.225436748794777,0.246268047190235,0.493345382353011,0.389798009119085,0.202243970354595,0.447165925055552,0.307617378956931
127226,0.245740082644628,0.416302606843064,0.220984899939451,0.222869750254588,0.425560001367939,0.293357355998473,0.234304916449608,0.420931304105502,0.257171127968962
129129,0.273864345706683,0.524014310763933,0.370017061746578,0.20852254610351,0.513813565896058,0.693486670465844,0.241193445905097,0.518913938329995,0.531751866106211
129937,0.237409550108633,0.486385454287458,0.52758401787443,0.216104346561528,0.388021566519441,0.223707814369894,0.22675694833508,0.43720351040345,0.375645916122162
130821,0.201928213154731,0.298261646566085,0.202375077369386,0.127168184839798,0.289494610403781,0.196778357551184,0.164548198997264,0.293878128484933,0.199576717460285
130922,0.203964901155965,0.460863226643185,0.303356454916538,0.236122911415822,0.447404391210827,0.350642664356997,0.220043906285893,0.454133808927006,0.326999559636768
131924,0.1697847463072,0.475688423295118,0.320113101393862,0.219999707815924,0.455635064940188,0.51901519393266,0.194892227061562,0.465661744117653,0.419564147663261
133625,0.22475995606576,0.441665285512117,0.382442579152022,0.165405899454725,0.566717960655797,0.544303910662556,0.195082927760242,0.504191623083957,0.463373244907289
134425,0.172830583162854,0.455776782635894,0.332464230270541,0.188931702030145,0.485036806655258,0.343264190286025,0.1808811425965,0.470406794645576,0.337864210278283
134728,0.202931061423288,0.414501022333454,0.298030455260886,0.250055978243123,0.441858002715266,0.395235782559533,0.226493519833205,0.42817951252436,0.34663311891021
135730,0.199024344617896,0.350164099053219,0.225700445929398,0.214382126901179,0.390327956856228,0.210088545598868,0.206703235759538,0.370246027954724,0.217894495764133
135932,0.202300273246219,0.42773449778505,0.251962123790296,0.207643408447699,0.490672099509288,0.396264143804319,0.204971840846959,0.459203298647169,0.324113133797307
136126,0.17319061702293,0.471973861088527,0.419142909023909,0.272580571788965,0.44477234206937,0.449323975481452,0.222885594405948,0.458373101578949,0.43423344225268
136732,0.112354640925345,0.256796800651382,0.0358968870327448,0.113199649353495,0.316486255273204,0.155207170954154,0.11277714513942,0.286641527962293,0.0955520289934494
