subject,LR_node_modularity,LR_edge_modularity,LR_triangle_modularity,RL_node_modularity,RL_edge_modularity,RL_triangle_modularity,both_node_modularity,both_edge_modularity,both_triangle_modularity
103414,0.189398014493288,0.486300236356292,0.306562600440492,0.191173256697474,0.338628212600901,0.269721800682699,0.190285635595381,0.412464224478596,0.288142200561596
104820,0.183269747400781,0.3887360026917,0.226846563616342,0.240868584745905,0.551966251004452,0.393752898024829,0.212069166073343,0.470351126848076,0.310299730820585
108222,0.19103179533125,0.459701200794031,0.284239034216468,0.238281616508726,0.485559302037602,0.499120821559029,0.214656705919988,0.472630251415816,0.391679927887749
111514,0.181537682823377,0.419875788323309,0.360178188423057,0.22015829748218,0.507146137060078,0.441401725625357,0.200847990152778,0.463510962691694,0.400789957024207
115724,0.183062148925394,0.296398137236861,0.27421064397742,0.212851196034649,0.486941281535345,0.353793461964098,0.197956672480021,0.391669709386103,0.314002052970759
118023,0.209119875469986,0.364661651455133,0.346522152678597,0.283760528125395,0.444120219852419,0.36351206525834,0.24644020179769,0.404390935653776,0.355017108968468
118225,0.200733363836541,0.539184732524345,0.489910714027005,0.17111474119123,0.515375398241798,0.418287360249214,0.185924052513885,0.527280065383071,0.45409903713811
120111,0.17502728687274,0.327377918978775,0.355865264647515,0.254926275194123,0.395107901259542,0.303802036907422,0.214976781033431,0.361242910119158,0.329833650777469
124422,0.215067020883932,0.379786859041203,0.187875126846191,0.220829912598717,0.417530671370703,0.188685960863202,0.217948466741325,0.398658765205953,0.188280543854697
124624,0.263381662858,0.377317670933203,0.180669659303645,0.277661166988565,0.346231986145445,0.397956246079294,0.270521414923283,0.361774828539324,0.28931295269147
124826,0.197312513433412,0.440772615320636,0.434342950245973,0.261589918291697,0.451086143119491,0.453768601329531,0.229451215862554,0.445929379220063,0.444055775787752
125424,0.158219893518954,0.400986467758093,0.225436748794777,0.246268047190235,0.493345382353011,0.389798009119085,0.202243970354595,0.447165925055552,0.307617378956931
127226,0.245740082644628,0.416302606843064,0.220984899939451,0.222869750254588,0.425560001367939,0.293357355998473,0.234304916449608,0.420931304105502,0.257171127968962
129129,0.273864345706683,0.524014310763933,0.370017061746578,0.20852254610351,0.513813565896058,0.693486670465844,0.241193445905097,0.518913938329995,0.531751866106211
130821,0.201928213154731,0.298261646566085,0.202375077369386,0.127168184839798,0.289494610403781,0.196778357551184,0.164548198997264,0.293878128484933,0.199576717460285
131924,0.1697847463072,0.475688423295118,0.320113101393862,0.219999707815924,0.455635064940188,0.51901519393266,0.194892227061562,0.465661744117653,0.419564147663261
